ip,isBad
51.255.30.69,TRUE
81.169.145.90,TRUE
192.64.147.249,TRUE
66.96.162.145,TRUE
69.163.160.104,TRUE
192.64.119.29,TRUE
37.152.88.55,TRUE
143.95.38.244,TRUE
169.59.0.130,TRUE
104.198.14.52,TRUE
66.96.132.196,TRUE
62.149.128.72,TRUE
217.160.223.40,TRUE
88.214.207.96,TRUE
108.60.15.210,TRUE
64.99.64.37,TRUE
198.71.233.67,TRUE
13.248.155.104,TRUE
98.124.199.92,TRUE
217.160.0.114,TRUE
31.170.160.61,TRUE
216.239.36.21,TRUE
93.174.4.8,TRUE
50.63.197.202,TRUE
85.13.163.162,TRUE
213.157.64.1,TRUE
198.71.233.199,TRUE
184.168.221.83,TRUE
204.93.178.31,TRUE
81.169.145.68,TRUE
31.11.34.162,TRUE
79.242.53.248,TRUE
217.26.48.101,TRUE
217.160.0.57,TRUE
216.170.123.111,TRUE
82.166.34.188,TRUE
167.89.123.54,TRUE
87.117.220.232,TRUE
31.193.4.14,TRUE
186.64.116.135,TRUE
88.119.86.63,TRUE
178.159.36.183,TRUE
134.119.177.64,TRUE
185.208.211.173,TRUE
185.244.30.125,TRUE
167.89.118.52,TRUE
95.239.79.156,TRUE
